DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
201210106,04/01/2020,03/19/2020,2345,12,77th Street,1253,997,TRAFFIC COLLISION,4025 3037 3004 3028 3030 3101,48,M,B,101,STREET,HOBART                       BL,FLORENCE                     AV,"(33.9746, -118.3078)"
201808487,03/21/2020,03/19/2020,1000,18,Southeast,1841,997,TRAFFIC COLLISION,4025 3037 3004 3028 3101,49,M,H,101,STREET,FIGUEROA                     ST,113TH                        ST,"(33.932, -118.2826)"
201607281,03/20/2020,03/19/2020,1950,16,Foothill,1685,997,TRAFFIC COLLISION,3008 3037 3025 3101 4026,71,M,B,101,STREET,LANKERSHIM                   BL,TUXFORD                      ST,"(34.2225, -118.3878)"
201607273,03/19/2020,03/19/2020,1640,16,Foothill,1663,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,35,M,B,101,STREET,BRANFORD,TELFAIR,"(34.2457, -118.4066)"
201209505,03/19/2020,03/19/2020,1730,12,77th Street,1245,997,TRAFFIC COLLISION,4012 3037 3004 3028 3030 3101,37,F,H,101,STREET,VERMONT                      AV,SLAUSON                      AV,"(33.9789, -118.2981)"
201007397,03/19/2020,03/19/2020,1722,10,West Valley,1004,997,TRAFFIC COLLISION,4010 3004 3036 3026 3101,51,M,H,101,STREET,SATICOY                      ST,LINDLEY                      AV,"(34.2084, -118.5273)"
201007385,03/19/2020,03/19/2020,1220,10,West Valley,1067,997,TRAFFIC COLLISION,3004 3036 3025 3101 4026,21,M,B,101,STREET,MAGNOLIA,BALBOA,"(34.165, -118.5011)"
202007761,03/19/2020,03/19/2020,0630,20,Olympic,2011,997,TRAFFIC COLLISION,3011 3024 3034 3037 3101 3401 3701 4020,,X,X,101,STREET,WESTERN                      AV,1ST                          ST,"(34.0737, -118.3091)"
200707602,03/19/2020,03/19/2020,1730,07,Wilshire,0738,997,TRAFFIC COLLISION,3011 3025 3034 3037 3101 3401 3701 4027,19,,,101,STREET,6TH,RIMPAU,"(34.0648, -118.3329)"
201209504,03/19/2020,03/19/2020,2100,12,77th Street,1252,997,TRAFFIC COLLISION,4012 3037 3004 3026 3101 3602,31,M,B,101,STREET,VAN NESS                     AV,70TH                         ST,"(33.9764, -118.3177)"
201808464,03/20/2020,03/19/2020,1255,18,Southeast,1821,997,TRAFFIC COLLISION,3602 3101 4025 3037 3004 3026,52,F,H,101,STREET,HOOVER                       ST,CENTURY                      BL,"(33.9455, -118.2869)"
201808451,03/19/2020,03/19/2020,1540,18,Southeast,1842,997,TRAFFIC COLLISION,4018 3008 3026 3030 3101 0605,55,M,W,101,STREET,110TH                        ST,MAIN                         ST,"(33.9357, -118.2739)"
201209429,03/19/2020,03/19/2020,0815,12,77th Street,1252,997,TRAFFIC COLLISION,4012 3037 3004 3028 3101 3034,36,M,H,101,STREET,2ND                          AV,67TH                         ST,"(33.9782, -118.3197)"
201209506,03/19/2020,03/19/2020,1230,12,77th Street,1204,997,TRAFFIC COLLISION,4012 3037 3004 3028 3030 3101,26,F,H,101,STREET,48TH                         ST,NORMANDIE,"(33.9996, -118.3002)"
