Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008,SE_A09004B_008,SE_A09004B_001,SE_A09004B_002,SE_A09004B_003,SE_A09004B_004,SE_A09004B_005,SE_A09004B_006,SE_A09004B_007,PCT_SE_A09004B_001,PCT_SE_A09004B_002,PCT_SE_A09004B_003,PCT_SE_A09004B_004,PCT_SE_A09004B_005,PCT_SE_A09004B_006,PCT_SE_A09004B_007,SE_A09003_001,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007
"06037604100","14000US06037604100","Census Tract 6041","Census Tract 6041, Los Angeles County, California","ca","140","00","ACSSF","0005892",,,,,"06","037",,,,"604100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7487,19031.66,0.393397189485048,7487,3952,234,70,505,0,2410,316,52.78,3.13,0.93,6.75,0,32.19,4.22,3755,3223,2926,297,174,0,59,72,95,132,85.83,77.92,7.91,4.63,0,1.57,1.92,2.53,3.52,3755,2377,1782,260,129,55,94,57,63.3,47.46,6.92,3.44,1.46,2.5,1.52,27,1320,32,377,657,254,0,0,2.42,28.56,49.77,19.24,0,0
"06037609900","14000US06037609900","Census Tract 6099","Census Tract 6099, Los Angeles County, California","ca","140","00","ACSSF","0005893",,,,,"06","037",,,,"609900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148,10460.92,0.205335700397067,2148,1461,68,2,128,2,354,133,68.02,3.17,0.09,5.96,0.09,16.48,6.19,828,748,698,50,9,7,0,9,0,55,90.34,84.3,6.04,1.09,0.85,0,1.09,0,6.64,828,426,377,15,9,5,0,20,51.45,45.53,1.81,1.09,0.6,0,2.42,28,352,26,170,124,25,7,0,7.39,48.3,35.23,7.1,1.99,0
"06037620001","14000US06037620001","Census Tract 6200.01","Census Tract 6200.01, Los Angeles County, California","ca","140","00","ACSSF","0005894",,,,,"06","037",,,,"620001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4236,9270.13,0.456951537999404,4236,3194,273,7,215,0,115,432,75.4,6.44,0.17,5.08,0,2.71,10.2,2176,1785,1676,109,77,29,9,132,9,135,82.03,77.02,5.01,3.54,1.33,0.41,6.07,0.41,6.2,2176,1114,817,52,67,112,18,48,51.19,37.55,2.39,3.08,5.15,0.83,2.21,23,775,34,380,259,72,30,0,4.39,49.03,33.42,9.29,3.87,0
"06037620002","14000US06037620002","Census Tract 6200.02","Census Tract 6200.02, Los Angeles County, California","ca","140","00","ACSSF","0005895",,,,,"06","037",,,,"620002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3494,7638.303,0.457431463002917,3494,2404,69,0,528,0,228,265,68.8,1.97,0,15.11,0,6.53,7.58,1885,1670,1636,34,7,8,49,25,15,111,88.59,86.79,1.8,0.37,0.42,2.6,1.33,0.8,5.89,1878,1209,1028,26,7,0,46,102,64.38,54.74,1.38,0.37,0,2.45,5.43,23,1029,102,397,457,55,18,0,9.91,38.58,44.41,5.34,1.75,0
"06037620101","14000US06037620101","Census Tract 6201.01","Census Tract 6201.01, Los Angeles County, California","ca","140","00","ACSSF","0005896",,,,,"06","037",,,,"620101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5558,10649.8,0.521887746198052,5558,3690,285,0,689,0,114,780,66.39,5.13,0,12.4,0,2.05,14.03,2744,2403,2198,205,38,0,57,62,55,129,87.57,80.1,7.47,1.38,0,2.08,2.26,2,4.7,2744,954,717,133,12,18,27,47,34.77,26.13,4.85,0.44,0.66,0.98,1.71,26,891,45,495,277,0,57,17,5.05,55.56,31.09,0,6.4,1.91
"06037620102","14000US06037620102","Census Tract 6201.02","Census Tract 6201.02, Los Angeles County, California","ca","140","00","ACSSF","0005897",,,,,"06","037",,,,"620102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3562,10580.8,0.336647505702729,3562,2704,11,56,198,8,267,318,75.91,0.31,1.57,5.56,0.22,7.5,8.93,2030,1632,1568,64,36,0,14,154,33,161,80.39,77.24,3.15,1.77,0,0.69,7.59,1.63,7.93,2028,1418,1097,64,36,124,10,87,69.92,54.09,3.16,1.78,6.11,0.49,4.29,32,1006,62,427,413,73,11,20,6.16,42.45,41.05,7.26,1.09,1.99
"06037620201","14000US06037620201","Census Tract 6202.01","Census Tract 6202.01, Los Angeles County, California","ca","140","00","ACSSF","0005898",,,,,"06","037",,,,"620201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,17689.03,0.0886424956409064,1568,1374,32,6,79,0,5,72,87.63,2.04,0.38,5.04,0,0.32,4.59,1132,947,912,35,18,0,14,13,32,108,83.66,80.57,3.09,1.59,0,1.24,1.15,2.83,9.54,1132,868,723,35,6,0,46,58,76.68,63.87,3.09,0.53,0,4.06,5.12,34,635,19,362,241,13,0,0,2.99,57.01,37.95,2.05,0,0
"06037620301","14000US06037620301","Census Tract 6203.01","Census Tract 6203.01, Los Angeles County, California","ca","140","00","ACSSF","0005899",,,,,"06","037",,,,"620301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4942,12323.17,0.40103313219984,4942,4147,0,53,244,0,161,337,83.91,0,1.07,4.94,0,3.26,6.82,1872,1632,1580,52,5,0,7,50,39,139,87.18,84.4,2.78,0.27,0,0.37,2.67,2.08,7.43,1872,235,194,0,0,10,0,31,12.55,10.36,0,0,0.53,0,1.66,33,226,13,74,118,21,0,0,5.75,32.74,52.21,9.29,0,0
"06037620303","14000US06037620303","Census Tract 6203.03","Census Tract 6203.03, Los Angeles County, California","ca","140","00","ACSSF","0005900",,,,,"06","037",,,,"620303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569,10218.15,0.447145701061163,4569,3829,1,0,497,0,23,219,83.8,0.02,0,10.88,0,0.5,4.79,2084,1783,1657,126,13,0,0,9,0,279,85.56,79.51,6.05,0.62,0,0,0.43,0,13.39,2083,453,366,38,13,8,0,28,21.75,17.57,1.82,0.62,0.38,0,1.34,36,292,0,62,200,30,0,0,0,21.23,68.49,10.27,0,0
"06037620305","14000US06037620305","Census Tract 6203.05","Census Tract 6203.05, Los Angeles County, California","ca","140","00","ACSSF","0005901",,,,,"06","037",,,,"620305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5876,12025.14,0.488642804522646,5876,4891,87,0,550,0,215,133,83.24,1.48,0,9.36,0,3.66,2.26,2826,2164,1947,217,42,11,43,52,69,445,76.57,68.9,7.68,1.49,0.39,1.52,1.84,2.44,15.75,2826,1483,850,195,21,0,114,303,52.48,30.08,6.9,0.74,0,4.03,10.72,28,1110,58,323,710,19,0,0,5.23,29.1,63.96,1.71,0,0
