,Date_Occurred,Time_Occurred,Area_ID,Area_Name,MO_Codes,Victim_Age,Victim_Sex,Victim_Descent,Address,Cross_Street,Location,Latitude,Longitude,geometry
14242,2020-11-16,720,12,77th Street,4012 3036 3004 3026 3101,27.0,Male,"Hispanic, Latin, Mexican",FLORENCE                     AV,MAIN                         ST,"(33.9747, -118.2739)",33.9747,-118.2739,POINT (-118.2739 33.9747)
14243,2020-11-16,1745,12,77th Street,4025 3036 3004 3028 3030 3101,68.0,Male,"Hispanic, Latin, Mexican",WESTERN,45TH                         ST,"(34.0028, -118.3089)",34.0028,-118.3089,POINT (-118.3089 34.0028)
14244,2020-11-16,1540,19,Mission,3004 3037 3602 3025 3101 4026,18.0,Male,"Hispanic, Latin, Mexican",ARLETA                       AV,TERRA BELLA                  AV,"(0.0, 0.0)",0.0,0.0,POINT (0 0)
14245,2020-11-16,1850,19,Mission,3004 3037 3029 3025 3101 4026,32.0,Female,"Hispanic, Latin, Mexican",LANGDON                      AV,PARTHENIA                    ST,"(34.2283, -118.4699)",34.2283,-118.4699,POINT (-118.4699 34.2283)
14246,2020-11-16,1710,17,Devonshire,3004 3037 3026 3101 4026,50.0,Female,"Hispanic, Latin, Mexican",MASON                        AV,MAYALL                       ST,"(0.0, 0.0)",0.0,0.0,POINT (0 0)
14247,2020-11-16,810,3,Southwest,4025 3028 3030 3101 3036 3004,54.0,Male,"Hispanic, Latin, Mexican",CRENSHAW                     BL,JEFFERSON,"(34.0256, -118.3351)",34.0256,-118.3351,POINT (-118.3351 34.0256)
14248,2020-11-16,1200,13,Newton,0605 3101 3401 3701 3029 3004 3026 3036,47.0,Male,"Hispanic, Latin, Mexican",46TH                         ST,MAIN                         ST,"(34.002, -118.274)",34.002,-118.274,POINT (-118.274 34.002)
14249,2020-11-16,1815,18,Southeast,0605 3004 3029 3037 3026 3101,45.0,Female,"Hispanic, Latin, Mexican",VERMONT,CENTURY,"(33.9455, -118.2916)",33.9455,-118.2916,POINT (-118.2916 33.9455)
14250,2020-11-16,740,11,Northeast,0605 3101 3401 3701 3034 3004,99.0,Male,Other,LOS FELIZ                    BL,SACRAMENTO                   FY,"(34.1374, -118.2941)",34.1374,-118.2941,POINT (-118.2941 34.1374)
14251,2020-11-16,1000,4,Hollenbeck,3101 3401 3701 3030 3004 0605,,Female,"Hispanic, Latin, Mexican",PASADENA                     AV,PASADENA                     AV,"(34.084, -118.2135)",34.084,-118.2135,POINT (-118.2135 34.084)
14252,2020-11-16,1740,4,Hollenbeck,0605 3101 3401 3701 3004 3030 3034 3036,55.0,Male,"Hispanic, Latin, Mexican",OLYMPIC,SOTO,"(34.024, -118.2198)",34.024,-118.2198,POINT (-118.2198 34.024)
14253,2020-11-16,2150,21,Topanga,3029 3004 3037 3025 3101 4026,59.0,Female,Other,VALLEY CIRCLE,WOOLSEY CANYON,"(34.2331, -118.6273)",34.2331,-118.6273,POINT (-118.6273 34.2331)
14254,2020-11-16,1330,13,Newton,0605 3101 3401 3701 3004 3026 3036,31.0,Male,"Hispanic, Latin, Mexican",WALL                         ST,VERNON                       AV,"(34.0038, -118.2718)",34.0038,-118.2718,POINT (-118.2718 34.0038)
14255,2020-11-16,30,16,Foothill,3004 3037 3026 3101 4016 0605,30.0,Female,"Hispanic, Latin, Mexican",SUNLAND                      BL,ROSCOE                       BL,"(34.2309, -118.3727)",34.2309,-118.3727,POINT (-118.3727 34.2309)
14256,2020-11-16,845,11,Northeast,0605 3101 3401 3701 3004 3030 3036,60.0,Male,"Hispanic, Latin, Mexican",FIGUEROA                     ST,HILLANDALE                   DR,"(34.1266, -118.1867)",34.1266,-118.1867,POINT (-118.1867 34.1266)
14257,2020-11-16,920,3,Southwest,4025 3025 3029 3101 3036 3008,47.0,Male,Black,FIGUEROA                     ST,MARTIN LUTHER KING JR        BL,"(34.0073, -118.3108)",34.0073,-118.3108,POINT (-118.3108 34.0073)
14258,2020-11-16,1745,9,Van Nuys,3004 3037 3030 3028 3101 4026,32.0,Male,White,KESTER,OXNARD,"(34.1794, -118.4574)",34.1794,-118.4574,POINT (-118.4574 34.1794)
14259,2020-11-16,1430,12,77th Street,4025 3036 3004 3028 3030 3101,61.0,Male,Black,GAGE                         AV,VERMONT                      AV,"(33.9823, -118.2915)",33.9823,-118.2915,POINT (-118.2915 33.9823)
14260,2020-11-16,1100,3,Southwest,3036 3004 3026 3101,32.0,Female,Black,WISCONSIN                    ST,EXPOSITION                   BL,"(34.0182, -118.2931)",34.0182,-118.2931,POINT (-118.2931 34.0182)
14261,2020-11-16,830,2,Rampart,0605 3101 3401 3701 3036 3026 3004,29.0,Male,White,ALVARADO                     ST,BELLEVUE                     AV,"(34.0729, -118.2664)",34.0729,-118.2664,POINT (-118.2664 34.0729)
14262,2020-11-16,2303,16,Foothill,3004 3036 3029 3026 3101 4026,22.0,Female,Other,SUNLAND                      BL,WHEATLAND                    AV,"(34.2471, -118.3575)",34.2471,-118.3575,POINT (-118.3575 34.2471)
14263,2020-11-16,2050,17,Devonshire,3004 3036 3026 3101 4026,24.0,Male,"Hispanic, Latin, Mexican",CHATSWORTH                   ST,BALBOA                       BL,"(34.2648, -118.5023)",34.2648,-118.5023,POINT (-118.5023 34.2648)
14264,2020-11-16,1600,10,West Valley,3004 3036 3030 3028 3101 4026,27.0,Male,"Hispanic, Latin, Mexican",BURBANK                      BL,BALBOA                       BL,"(34.1722, -118.501)",34.1722,-118.501,POINT (-118.501 34.1722)
14265,2020-11-16,1330,12,77th Street,3004 3037 3025 3101,80.0,Male,"Hispanic, Latin, Mexican",MANCHESTER                   AV,HARVARD                      BL,"(33.96, -118.3068)",33.96,-118.3068,POINT (-118.3068 33.96)
