DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191204009,12/31/2018,12/31/2018,1720,12,77th Street,1245,997,TRAFFIC COLLISION,3004 3028 3030 3101 4012 0605,40,M,B,101,STREET,VERMONT                      AV,FLORENCE                     AV,"(33.9746, -118.2918)"
191204079,12/31/2018,12/31/2018,1953,12,77th Street,1208,997,TRAFFIC COLLISION,3006 3028 3030 3101 4012 0605,28,M,B,101,STREET,W  50TH                         ST,FIGUEROA,"(33.9974, -118.2827)"
191204080,12/31/2018,12/31/2018,1950,12,77th Street,1207,997,TRAFFIC COLLISION,3006 3028 3030 3101 4012 0605,,X,X,101,STREET,VERMONT                      AV,48TH                         ST,"(33.9996, -118.2915)"
191204211,12/31/2018,12/31/2018,1900,12,77th Street,1268,997,TRAFFIC COLLISION,3004 3028 3030 3101 4012 0605,,F,X,101,STREET,MAIN,81ST                         ST,"(33.9662, -118.2739)"
191204045,12/31/2018,12/31/2018,2018,12,77th Street,1235,997,TRAFFIC COLLISION,4012 3036 3003 3026 3101 0605,56,M,B,101,STREET,SLAUSON,NORMANDIE,"(33.9892, -118.3002)"
191204010,12/31/2018,12/31/2018,1500,12,77th Street,1215,997,TRAFFIC COLLISION,3004 3028 3030 3101 4012 0605,25,F,H,101,STREET,57TH                         ST,VERMONT                      AV,"(33.9905, -118.2915)"
191004002,01/01/2019,12/31/2018,2145,10,West Valley,1025,997,TRAFFIC COLLISION,3008 3024 3036 3101 3401 3701 4026,68,M,W,101,STREET,RESEDA                       BL,SHERMAN                      WY,"(34.2011, -118.536)"
191104017,12/31/2018,12/31/2018,1755,11,Northeast,1141,997,TRAFFIC COLLISION,3004 3101 3401 3701 3026 3036,47,M,H,101,STREET,HOLLYWOOD                    BL,ALEXANDRIA                   AV,"(34.1018, -118.2995)"
191004001,01/01/2019,12/31/2018,2200,10,West Valley,1068,997,TRAFFIC COLLISION,3003 3037 3025 3101 3401 3701 4026,86,M,W,101,STREET,BALBOA                       BL,MCCORMICK                    ST,"(34.1659, -118.5011)"
191104030,01/01/2019,12/31/2018,1435,11,Northeast,1123,997,TRAFFIC COLLISION,3101 3401 3701 3006,56,M,O,101,STREET,RIVERSIDE                    DR,RIVERSIDE                    TR,"(34.1207, -118.2641)"
191004043,01/02/2019,12/31/2018,2015,10,West Valley,1004,997,TRAFFIC COLLISION,3004 3026 3101 3401 3701 4010 3602 3036,22,M,O,101,STREET,ROSCOE                       BL,LINDLEY                      AV,"(34.2208, -118.5274)"
191104031,01/01/2019,12/31/2018,2010,11,Northeast,1171,997,TRAFFIC COLLISION,3101 3401 3701 3011 3026 3036,,X,X,101,STREET,SUNSET                       BL,LUCILE                       AV,"(34.091, -118.2788)"
191104001,01/01/2019,12/31/2018,1945,11,Northeast,1135,997,TRAFFIC COLLISION,3101 3401 3701 3011 3034,72,M,H,101,STREET,RODERICK                     RD,VERDUGO                      RD,"(34.1216, -118.2301)"
191104039,01/01/2019,12/31/2018,1900,11,Northeast,1115,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030,29,M,H,101,STREET,CHICKASAW                    AV,TOWNSEND                     AV,"(34.1378, -118.2015)"
191104327,01/07/2019,12/31/2018,1220,11,Northeast,1126,997,TRAFFIC COLLISION,3101 3401 3701 3003 3026,62,M,H,101,STREET,AVENUE 55,YORK                         BL,"(34.1197, -118.1982)"
